land_parcel_std,separated_names,tenderer_rank,num_tenderers_same_rank,tender_price,price_psm_gfa,tenderer_id,tenderer_name,unified_name
Jalan Anak Bukit,FE Landmark Pte. Ltd. | FEC Residences Trustee Pte. Ltd. | FEC Retail Trustee Pte. Ltd.,1,3,1028333333.0,10650.23,tenderer_1,FE Landmark Pte. Ltd.,0
Jalan Anak Bukit,Perpetual (Asia) Ltd. | Winchoice Investment Pte. Ltd.,2,2,1011000000.0,10470.72,tenderer_1,Perpetual Ltd.,0
Handy Road/Mount Sophia,SING ESSENTIAL Pte. LIMITED,2,1,188877160.0,16501.59,tenderer_1,SING ESSENTIAL Pte. LIMITED,0
Stirling Road,Logan Property (Singapore) Company Pte. Ltd. | Nanshan Group Singapore Co. Pte. Ltd.,1,2,1002719956.0,11309.72,tenderer_1,Logan Property Company Pte. Ltd.,0
Woodleigh Lane,Corson Pte. Ltd. | Wingjoy Investment Pte. Ltd.,2,2,695000000.0,11851.78,tenderer_1,Corson Pte. Ltd.,0
Serangoon North Avenue 1,Corson Pte. Ltd. | Wingjoy Investment Pte. Ltd.,1,2,446280000.0,10385.13,tenderer_1,Corson Pte. Ltd.,0
Chong Kuo Road,TG (2018) Pte. Ltd.,2,1,43899000.0,7320.16,tenderer_1,TG Pte. Ltd.,0
Holland Road,Stirling Land Holdings Pte. Ltd. | Stirling View Pte. Ltd. | Stirling Property Pte. Ltd.,1,3,1213333000.0,20318.73,tenderer_1,Stirling Land Holdings Pte. Ltd.,0
Holland Road,Maven Resources Pte. Ltd. | Riviera Resources Pte. Ltd.,2,2,1060574222.0,17760.6,tenderer_1,Maven Resources Pte. Ltd.,0
Hillview Rise,Areca Realty Pte. Ltd. | CDL Constellation Pte. Ltd.,2,2,405889000.0,10139.62,tenderer_1,Areca Realty Pte. Ltd.,0
Sengkang Central,Siena Residential Development Pte. Ltd. | Siena Trustee Pte. Ltd.,1,2,777777777.0,9941.43,tenderer_1,Siena Residential Development Pte. Ltd.,0
Sengkang Central,PQJ Retail Management Pte. Ltd. | PQJ Residential Development Pte. Ltd.,2,2,681999800.0,8717.21,tenderer_1,PQJ Retail Management Pte. Ltd.,0
Cuscaden Road,Amberden Pte. Ltd. | FEC Properties Pte. Ltd. | Orchard Square Pte. Ltd.,1,3,410000000.0,25588.22,tenderer_1,Amberden Pte. Ltd.,0
Cuscaden Road,Shun Tak Cuscaden Residential Pte. Ltd.,2,1,379433934.0,23680.58,tenderer_1,Shun Tak Cuscaden Residential Pte. Ltd.,0
Mattar Road,FSKH Development Pte. Ltd.,1,1,223019000.0,11931.89,tenderer_1,FSKH Development Pte. Ltd.,0
Mattar Road,Heliconia Land Pte. Ltd. | TTH Development Pte. Ltd. | First Capital Pte. Ltd.,2,3,218893000.0,11711.14,tenderer_1,Heliconia Land Pte. Ltd.,0
Jalan Jurong Kechil,COHL Singapore Pte. Ltd. | CSC Land Group (Singapore) Pte. Ltd.,1,2,215000000.0,10788.3,tenderer_1,COHL Singapore Pte. Ltd.,0
Middle Road,Wingcharm Investment Pte. Ltd.,1,1,491999999.0,15697.28,tenderer_1,Wingcharm Investment Pte. Ltd.,0
Toh Tuck Road,Singhaiyi Investments Pte. Ltd.,2,1,260168998.0,9926.33,tenderer_1,Singhaiyi Investments Pte. Ltd.,0
Jervois Road,Eastwood Park Pte. Ltd.,2,1,110000000.0,8770.53,tenderer_1,Eastwood Park Pte. Ltd.,0
Peck Seah Street/Choon Guan Street,RQ HOTEL MANAGEMENT Pte. Ltd. | RQ COMMERCIAL MANAGEMENT Pte. Ltd. | RQ RESIDENCE Pte. Ltd.,2,3,1528244644.0,9688.5,tenderer_1,RQ HOTEL MANAGEMENT Pte. Ltd.,0
